Problem name,Problem Link,Topic,Difficulty,Skill,Platform
Binary Shuffle,https://www.codechef.com/problems/BINSHFFL,Graphs,Medium,Intermediate,Codechef
Houses and Restaurants,https://www.codechef.com/problems/RHOUSE,Graphs,Medium,Intermediate,Codechef
Minimum Coloring,https://www.codechef.com/problems/MINCOLOR,Graphs,Medium,Intermediate,Codechef
Balanced Walks,https://www.codechef.com/problems/BALANCED,Graphs,Medium,Advanced,Codechef
Chef and Robots Competition,https://www.codechef.com/problems/CHEFARC,Graphs,Medium,Advanced,Codechef
Tree House,https://www.codechef.com/problems/THOUSES,Graphs,Medium,Advanced,Codechef
Winter,https://www.codechef.com/problems/ELWINTER,Graphs,Medium,Advanced,Codechef
Tidying Posters,https://www.codechef.com/problems/POSTERS,Graphs,Medium,Advanced,Codechef
Game of Numbers,https://www.codechef.com/problems/GNUM,Graphs,Hard,Basic,Codechef
Ada Matrix,https://www.codechef.com/problems/ADAMTR,Graphs,Hard,Intermediate,Codechef
"Devu, his friends and birthday gifts",https://www.codechef.com/problems/DEVBDAY,Graphs,Hard,Basic,Codechef
Lucy and the Flowers,https://www.codechef.com/problems/DECORATE,Graphs,Hard,Intermediate,Codechef
Computer Network,https://www.codechef.com/problems/EXNETWRK,Graphs,Hard,Advanced,Codechef
Profitable Paths,https://www.codechef.com/problems/PRT,Graphs,Hard,Advanced,Codechef
Chef and Lockout Draws,https://www.codechef.com/problems/LOCKDRAW,Sorting,Easy,Basic,Codechef
Simple Sorting,https://www.codechef.com/problems/TSORT,Sorting,Easy,Basic,Codechef
Chef Travel Routes,https://www.codechef.com/problems/TRAVELER,Sorting,Medium,Intermediate,Codechef
Akash and Dinner,https://www.codechef.com/problems/CHEFDINE,Sorting,Medium,Intermediate,Codechef
Warrior Chef,https://www.codechef.com/problems/WARRIORCHEF,Sorting,Medium,Intermediate,Codechef
B - Valentine Couples,https://www.codechef.com/problems/VCOUPLE,Sorting,Medium,Intermediate,Codechef
Distinct Pairs,https://www.codechef.com/problems/DPAIRS,Sorting,Hard,Advanced,Codechef
Zombie and the Caves,https://www.codechef.com/problems/ZOMCAV,Sorting,Hard,Advanced,Codechef
Frequency Array Retrieval,https://www.codechef.com/problems/FREQARRRET,Sorting,Hard,Advanced,Codechef
Chef and Interesting Subsequences,https://www.codechef.com/problems/CHEFINSQ,Sorting,Hard,Advanced,Codechef
Chef and the Feast,https://www.codechef.com/problems/NEO01,Sorting,Hard,Advanced,Codechef
Bomb the base,https://www.codechef.com/problems/BOMBTHEBASE,Greedy,Easy,Basic,Codechef
First and Last,https://www.codechef.com/problems/FIRSTANDLAST,Greedy,Easy,Basic,Codechef
Janmansh at Fruit Market,https://www.codechef.com/problems/JMARKET,Greedy,Easy,Basic,Codechef
Score High,https://www.codechef.com/problems/HIGHSCORE,Greedy,Easy,Basic,Codechef
K-Subarrays,https://www.codechef.com/problems/KSUB,Greedy,Medium,Basic,Codechef
Maximum Median Matching,https://www.codechef.com/problems/MEDMAXMATCH,Greedy,Medium,Intermediate,Codechef
Concat Sort,https://www.codechef.com/problems/CONCATSORT,Greedy,Medium,Intermediate,Codechef
Birthday Gifts,https://www.codechef.com/problems/TWINGFT,Greedy,Medium,Intermediate,Codechef
Equalize the Array,https://www.codechef.com/problems/EQAR,Greedy,Hard,Advanced,Codechef
Tree Flow,https://www.codechef.com/problems/TREF,Greedy,Hard,Advanced,Codechef
Banana String,https://www.codechef.com/problems/BANSTR,Greedy,Hard,Advanced,Codechef
Balanced 0-1 Tree,https://www.codechef.com/problems/B01T,Greedy,Hard,Advanced,Codechef
Minimum OR Path,https://www.codechef.com/problems/MINORPATH,Greedy,Hard,Advanced,Codechef
Add Two Numbers,https://leetcode.com/problems/add-two-numbers,Linked List,Medium,Intermediate,Leetcode
Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,"String,Dynamic Programming",Medium,Intermediate,Leetcode
ZigZag Conversion,https://leetcode.com/problems/zigzag-conversion,String,Medium,Intermediate,Leetcode
Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching,"String,Dynamic Programming",Hard,Advanced,Leetcode
Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix,String,Easy,Basic,Leetcode
Valid Parentheses,https://leetcode.com/problems/valid-parentheses,"String,Stack",Easy,Basic,Leetcode
Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,Linked List,Easy,Basic,Leetcode
Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,Linked List,Medium,Intermediate,Leetcode
Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,Linked List,Hard,Advanced,Leetcode
Next Permutation,https://leetcode.com/problems/next-permutation,Array,Medium,Intermediate,Leetcode
Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,"String,Dynamic Programming",Hard,Advanced,Leetcode
Count and Say,https://leetcode.com/problems/count-and-say,String,Medium,Intermediate,Leetcode
First Missing Positive,https://leetcode.com/problems/first-missing-positive,Array,Hard,Advanced,Leetcode
Jump Game II,https://leetcode.com/problems/jump-game-ii,Array,Medium,Intermediate,Leetcode
Rotate Image,https://leetcode.com/problems/rotate-image,Array,Medium,Intermediate,Leetcode
Maximum Subarray,https://leetcode.com/problems/maximum-subarray,"Array,Dynamic Programming",Easy,Basic,Leetcode
Spiral Matrix,https://leetcode.com/problems/spiral-matrix,Array,Medium,Intermediate,Leetcode
Jump Game,https://leetcode.com/problems/jump-game,Array,Medium,Intermediate,Leetcode
Merge Intervals,https://leetcode.com/problems/merge-intervals,Array,Medium,Intermediate,Leetcode
Insert Interval,https://leetcode.com/problems/insert-interval,Array,Medium,Intermediate,Leetcode
Length of Last Word,https://leetcode.com/problems/length-of-last-word,String,Easy,Basic,Leetcode
Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii,Array,Medium,Intermediate,Leetcode
Unique Paths,https://leetcode.com/problems/unique-paths,"Array,Dynamic Programming",Medium,Intermediate,Leetcode
Unique Paths II,https://leetcode.com/problems/unique-paths-ii,"Array,Dynamic Programming",Medium,Intermediate,Leetcode
Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum,"Array,Dynamic Programming",Medium,Intermediate,Leetcode
Plus One,https://leetcode.com/problems/plus-one,Array,Easy,Basic,Leetcode
Text Justification,https://leetcode.com/problems/text-justification,String,Hard,Advanced,Leetcode
Climbing Stairs,https://leetcode.com/problems/climbing-stairs,Dynamic Programming,Easy,Basic,Leetcode
Simplify Path,https://leetcode.com/problems/simplify-path,"String,Stack",Medium,Intermediate,Leetcode
Edit Distance,https://leetcode.com/problems/edit-distance,"String,Dynamic Programming",Hard,Advanced,Leetcode
Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes,Array,Medium,Intermediate,Leetcode
Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Linked List,Medium,Intermediate,Leetcode
Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List,Easy,Basic,Leetcode
Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array,Stack",Hard,Advanced,Leetcode
Scramble String,https://leetcode.com/problems/scramble-string,"String,Dynamic Programming",Hard,Advanced,Leetcode
Decode Ways,https://leetcode.com/problems/decode-ways,"String,Dynamic Programming",Medium,Intermediate,Leetcode
Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii,Linked List,Medium,Intermediate,Leetcode
Interleaving String,https://leetcode.com/problems/interleaving-string,"String,Dynamic Programming",Medium,Intermediate,Leetcode
Same Tree,https://leetcode.com/problems/same-tree,Tree,Easy,Basic,Leetcode
Symmetric Tree,https://leetcode.com/problems/symmetric-tree,Tree,Easy,Basic,Leetcode
Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,Tree,Medium,Intermediate,Leetcode
Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Stack,Tree",Medium,Intermediate,Leetcode
Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree,Tree,Easy,Basic,Leetcode
Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array,Tree",Medium,Intermediate,Leetcode
Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,"Array,Tree",Medium,Intermediate,Leetcode
Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,Tree,Medium,Intermediate,Leetcode
Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree,Tree,Easy,Basic,Leetcode
Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree,Tree,Easy,Basic,Leetcode
Path Sum,https://leetcode.com/problems/path-sum,Tree,Easy,Basic,Leetcode
Path Sum II,https://leetcode.com/problems/path-sum-ii,Tree,Medium,Intermediate,Leetcode
Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,Tree,Medium,Intermediate,Leetcode
Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences,"String,Dynamic Programming",Hard,Advanced,Leetcode
Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Tree,Medium,Intermediate,Leetcode
Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,Tree,Medium,Intermediate,Leetcode
Pascal's Triangle,https://leetcode.com/problems/pascals-triangle,Array,Easy,Basic,Leetcode
Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii,Array,Easy,Basic,Leetcode
Triangle,https://leetcode.com/problems/triangle,"Array,Dynamic Programming",Medium,Intermediate,Leetcode
Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array,Dynamic Programming",Easy,Basic,Leetcode
Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Array,Easy,Basic,Leetcode
Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array,Dynamic Programming",Hard,Advanced,Leetcode
Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,Tree,Hard,Advanced,Leetcode
Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers,Tree,Medium,Intermediate,Leetcode
Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii,Dynamic Programming,Hard,Advanced,Leetcode
Single Number,https://leetcode.com/problems/single-number,Bit Manipulation,Easy,Basic,Leetcode
Single Number II,https://leetcode.com/problems/single-number-ii,Bit Manipulation,Medium,Intermediate,Leetcode
Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer,Linked List,Medium,Intermediate,Leetcode
Word Break,https://leetcode.com/problems/word-break,Dynamic Programming,Medium,Intermediate,Leetcode
Reorder List,https://leetcode.com/problems/reorder-list,Linked List,Medium,Intermediate,Leetcode
Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal,"Stack,Tree",Medium,Intermediate,Leetcode
Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal,"Stack,Tree",Medium,Intermediate,Leetcode
Insertion Sort List,https://leetcode.com/problems/insertion-sort-list,Linked List,Medium,Intermediate,Leetcode
Sort List,https://leetcode.com/problems/sort-list,Linked List,Medium,Intermediate,Leetcode
Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,Stack,Medium,Intermediate,Leetcode
Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string,String,Medium,Intermediate,Leetcode
Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,"Array,Dynamic Programming",Medium,Intermediate,Leetcode
Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists,Linked List,Easy,Basic,Leetcode
Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers,String,Medium,Intermediate,Leetcode
Majority Element,https://leetcode.com/problems/majority-element,"Array,Bit Manipulation",Easy,Basic,Leetcode
Repeated DNA Sequences,https://leetcode.com/problems/repeated-dna-sequences,Bit Manipulation,Medium,Intermediate,Leetcode
Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,Dynamic Programming,Hard,Advanced,Leetcode
Rotate Array,https://leetcode.com/problems/rotate-array,Array,Medium,Intermediate,Leetcode
Reverse Bits,https://leetcode.com/problems/reverse-bits,Bit Manipulation,Easy,Basic,Leetcode
Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits,Bit Manipulation,Easy,Basic,Leetcode
House Robber,https://leetcode.com/problems/house-robber,Dynamic Programming,Medium,Intermediate,Leetcode
