Problem name,Problem Link,Topic,Difficulty,Skill,Platform
Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum,Dynamic Programming,Medium,Intermediate,Leetcode
Minimum Absolute Difference in BST,https://leetcode.com/problems/minimum-absolute-difference-in-bst,Tree,Easy,Basic,Leetcode
Minimum Time Difference,https://leetcode.com/problems/minimum-time-difference,String,Medium,Intermediate,Leetcode
Reverse String II,https://leetcode.com/problems/reverse-string-ii,String,Easy,Basic,Leetcode
Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,Tree,Easy,Basic,Leetcode
Remove Boxes,https://leetcode.com/problems/remove-boxes,Dynamic Programming,Hard,Advanced,Leetcode
Student Attendance Record I,https://leetcode.com/problems/student-attendance-record-i,String,Easy,Basic,Leetcode
Student Attendance Record II,https://leetcode.com/problems/student-attendance-record-ii,Dynamic Programming,Hard,Advanced,Leetcode
Next Greater Element III,https://leetcode.com/problems/next-greater-element-iii,String,Medium,Intermediate,Leetcode
Reverse Words in a String III,https://leetcode.com/problems/reverse-words-in-a-string-iii,String,Easy,Basic,Leetcode
Maximum Depth of N-ary Tree,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,Tree,Easy,Basic,Leetcode
Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k,Array,Medium,Intermediate,Leetcode
Array Partition I,https://leetcode.com/problems/array-partition-i,Array,Easy,Basic,Leetcode
Find the Closest Palindrome,https://leetcode.com/problems/find-the-closest-palindrome,String,Hard,Advanced,Leetcode
Array Nesting,https://leetcode.com/problems/array-nesting,Array,Medium,Intermediate,Leetcode
Reshape the Matrix,https://leetcode.com/problems/reshape-the-matrix,Array,Easy,Basic,Leetcode
Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree,Tree,Easy,Basic,Leetcode
Shortest Unsorted Continuous Subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,Array,Medium,Intermediate,Leetcode
Delete Operation for Two Strings,https://leetcode.com/problems/delete-operation-for-two-strings,String,Medium,Intermediate,Leetcode
N-ary Tree Postorder Traversal,https://leetcode.com/problems/n-ary-tree-postorder-traversal,Tree,Easy,Basic,Leetcode
Tag Validator,https://leetcode.com/problems/tag-validator,"String,Stack",Hard,Advanced,Leetcode
Construct String from Binary Tree,https://leetcode.com/problems/construct-string-from-binary-tree,"String,Tree",Easy,Basic,Leetcode
Valid Triangle Number,https://leetcode.com/problems/valid-triangle-number,Array,Medium,Intermediate,Leetcode
Add One Row to Tree,https://leetcode.com/problems/add-one-row-to-tree,Tree,Medium,Intermediate,Leetcode
K Inverse Pairs Array,https://leetcode.com/problems/k-inverse-pairs-array,Dynamic Programming,Hard,Advanced,Leetcode
Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions,Stack,Medium,Intermediate,Leetcode
Average of Levels in Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree,Tree,Easy,Basic,Leetcode
Shopping Offers,https://leetcode.com/problems/shopping-offers,Dynamic Programming,Medium,Intermediate,Leetcode
Decode Ways II,https://leetcode.com/problems/decode-ways-ii,Dynamic Programming,Hard,Advanced,Leetcode
Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i,Array,Easy,Basic,Leetcode
Maximum Length of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain,Dynamic Programming,Medium,Intermediate,Leetcode
Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings,"String,Dynamic Programming",Medium,Intermediate,Leetcode
2 Keys Keyboard,https://leetcode.com/problems/2-keys-keyboard,Dynamic Programming,Medium,Intermediate,Leetcode
Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees,Tree,Medium,Intermediate,Leetcode
Two Sum IV - Input is a BST,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,Tree,Easy,Basic,Leetcode
Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree,Tree,Medium,Intermediate,Leetcode
Print Binary Tree,https://leetcode.com/problems/print-binary-tree,Tree,Medium,Intermediate,Leetcode
Robot Return to Origin,https://leetcode.com/problems/robot-return-to-origin,String,Easy,Basic,Leetcode
Image Smoother,https://leetcode.com/problems/image-smoother,Array,Easy,Basic,Leetcode
Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree,Tree,Medium,Intermediate,Leetcode
Strange Printer,https://leetcode.com/problems/strange-printer,Dynamic Programming,Hard,Advanced,Leetcode
Non-decreasing Array,https://leetcode.com/problems/non-decreasing-array,Array,Medium,Intermediate,Leetcode
Beautiful Arrangement II,https://leetcode.com/problems/beautiful-arrangement-ii,Array,Medium,Intermediate,Leetcode
Second Minimum Node In a Binary Tree,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree,Tree,Easy,Basic,Leetcode
Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence,Dynamic Programming,Medium,Intermediate,Leetcode
Longest Continuous Increasing Subsequence,https://leetcode.com/problems/longest-continuous-increasing-subsequence,Array,Easy,Basic,Leetcode
Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string,String,Medium,Intermediate,Leetcode
Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii,String,Easy,Basic,Leetcode
Baseball Game,https://leetcode.com/problems/baseball-game,Stack,Easy,Basic,Leetcode
Repeated String Match,https://leetcode.com/problems/repeated-string-match,String,Medium,Intermediate,Leetcode
Knight Probability in Chessboard,https://leetcode.com/problems/knight-probability-in-chessboard,Dynamic Programming,Medium,Intermediate,Leetcode
Maximum Sum of 3 Non-Overlapping Subarrays,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,"Array,Dynamic Programming",Hard,Advanced,Leetcode
Binary Number with Alternating Bits,https://leetcode.com/problems/binary-number-with-alternating-bits,Bit Manipulation,Easy,Basic,Leetcode
Max Area of Island,https://leetcode.com/problems/max-area-of-island,Array,Medium,Intermediate,Leetcode
Count Binary Substrings,https://leetcode.com/problems/count-binary-substrings,String,Easy,Basic,Leetcode
Degree of an Array,https://leetcode.com/problems/degree-of-an-array,Array,Easy,Basic,Leetcode
To Lower Case,https://leetcode.com/problems/to-lower-case,String,Easy,Basic,Leetcode
Minimum ASCII Delete Sum for Two Strings,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings,Dynamic Programming,Medium,Intermediate,Leetcode
Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,"Array,Dynamic Programming",Medium,Intermediate,Leetcode
1-bit and 2-bit Characters,https://leetcode.com/problems/1-bit-and-2-bit-characters,Array,Easy,Basic,Leetcode
Remove Comments,https://leetcode.com/problems/remove-comments,String,Medium,Intermediate,Leetcode
Find Pivot Index,https://leetcode.com/problems/find-pivot-index,Array,Easy,Basic,Leetcode
Split Linked List in Parts,https://leetcode.com/problems/split-linked-list-in-parts,Linked List,Medium,Intermediate,Leetcode
My Calendar I,https://leetcode.com/problems/my-calendar-i,Array,Medium,Intermediate,Leetcode
Count Different Palindromic Subsequences,https://leetcode.com/problems/count-different-palindromic-subsequences,"String,Dynamic Programming",Hard,Advanced,Leetcode
Asteroid Collision,https://leetcode.com/problems/asteroid-collision,Stack,Medium,Intermediate,Leetcode
Parse Lisp Expression,https://leetcode.com/problems/parse-lisp-expression,String,Hard,Advanced,Leetcode
Delete and Earn,https://leetcode.com/problems/delete-and-earn,Dynamic Programming,Medium,Intermediate,Leetcode
Cherry Pickup,https://leetcode.com/problems/cherry-pickup,Dynamic Programming,Hard,Advanced,Leetcode
Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,"Array,Dynamic Programming",Easy,Basic,Leetcode
Largest Number At Least Twice of Others,https://leetcode.com/problems/largest-number-at-least-twice-of-others,Array,Easy,Basic,Leetcode
Pyramid Transition Matrix,https://leetcode.com/problems/pyramid-transition-matrix,Bit Manipulation,Medium,Intermediate,Leetcode
Prime Number of Set Bits in Binary Representation,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation,Bit Manipulation,Easy,Basic,Leetcode
Largest Plus Sign,https://leetcode.com/problems/largest-plus-sign,Dynamic Programming,Medium,Intermediate,Leetcode
Toeplitz Matrix,https://leetcode.com/problems/toeplitz-matrix,Array,Easy,Basic,Leetcode
Max Chunks To Make Sorted II,https://leetcode.com/problems/max-chunks-to-make-sorted-ii,Array,Hard,Advanced,Leetcode
Max Chunks To Make Sorted,https://leetcode.com/problems/max-chunks-to-make-sorted,Array,Medium,Intermediate,Leetcode
Rotated Digits,https://leetcode.com/problems/rotated-digits,String,Easy,Basic,Leetcode
Domino and Tromino Tiling,https://leetcode.com/problems/domino-and-tromino-tiling,Dynamic Programming,Medium,Intermediate,Leetcode
Custom Sort String,https://leetcode.com/problems/custom-sort-string,String,Medium,Intermediate,Leetcode
Number of Matching Subsequences,https://leetcode.com/problems/number-of-matching-subsequences,Array,Medium,Intermediate,Leetcode
Number of Subarrays with Bounded Maximum,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum,Array,Medium,Intermediate,Leetcode
Champagne Tower,https://leetcode.com/problems/champagne-tower,Dynamic Programming,Medium,Intermediate,Leetcode
Minimum Swaps To Make Sequences Increasing,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing,Dynamic Programming,Medium,Intermediate,Leetcode
Soup Servings,https://leetcode.com/problems/soup-servings,Dynamic Programming,Medium,Intermediate,Leetcode
Expressive Words,https://leetcode.com/problems/expressive-words,String,Medium,Intermediate,Leetcode
Largest Sum of Averages,https://leetcode.com/problems/largest-sum-of-averages,Dynamic Programming,Medium,Intermediate,Leetcode
Binary Tree Pruning,https://leetcode.com/problems/binary-tree-pruning,Tree,Medium,Intermediate,Leetcode
Ambiguous Coordinates,https://leetcode.com/problems/ambiguous-coordinates,String,Medium,Intermediate,Leetcode
Linked List Components,https://leetcode.com/problems/linked-list-components,Linked List,Medium,Intermediate,Leetcode
Most Common Word,https://leetcode.com/problems/most-common-word,String,Easy,Basic,Leetcode
Goat Latin,https://leetcode.com/problems/goat-latin,String,Easy,Basic,Leetcode
Friends Of Appropriate Ages,https://leetcode.com/problems/friends-of-appropriate-ages,Array,Medium,Intermediate,Leetcode
Positions of Large Groups,https://leetcode.com/problems/positions-of-large-groups,Array,Easy,Basic,Leetcode
Masking Personal Information,https://leetcode.com/problems/masking-personal-information,String,Medium,Intermediate,Leetcode
Flipping an Image,https://leetcode.com/problems/flipping-an-image,Array,Easy,Basic,Leetcode
Find And Replace in String,https://leetcode.com/problems/find-and-replace-in-string,String,Medium,Intermediate,Leetcode
Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree,Tree,Hard,Advanced,Leetcode
Image Overlap,https://leetcode.com/problems/image-overlap,Array,Medium,Intermediate,Leetcode
New 21 Game,https://leetcode.com/problems/new-21-game,Dynamic Programming,Medium,Intermediate,Leetcode
Magic Squares In Grid,https://leetcode.com/problems/magic-squares-in-grid,Array,Medium,Intermediate,Leetcode
Maximize Distance to Closest Person,https://leetcode.com/problems/maximize-distance-to-closest-person,Array,Medium,Intermediate,Leetcode
Score of Parentheses,https://leetcode.com/problems/score-of-parentheses,"String,Stack",Medium,Intermediate,Leetcode
Buddy Strings,https://leetcode.com/problems/buddy-strings,String,Easy,Basic,Leetcode
All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Tree,Medium,Intermediate,Leetcode
Length of Longest Fibonacci Subsequence,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence,"Array,Dynamic Programming",Medium,Intermediate,Leetcode
Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,Linked List,Easy,Basic,Leetcode
Profitable Schemes,https://leetcode.com/problems/profitable-schemes,Dynamic Programming,Hard,Advanced,Leetcode
Decoded String at Index,https://leetcode.com/problems/decoded-string-at-index,Stack,Medium,Intermediate,Leetcode
Fair Candy Swap,https://leetcode.com/problems/fair-candy-swap,Array,Easy,Basic,Leetcode
Construct Binary Tree from Preorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,Tree,Medium,Intermediate,Leetcode
Find and Replace Pattern,https://leetcode.com/problems/find-and-replace-pattern,String,Medium,Intermediate,Leetcode
Groups of Special-Equivalent Strings,https://leetcode.com/problems/groups-of-special-equivalent-strings,String,Easy,Basic,Leetcode
All Possible Full Binary Trees,https://leetcode.com/problems/all-possible-full-binary-trees,Tree,Medium,Intermediate,Leetcode
Monotonic Array,https://leetcode.com/problems/monotonic-array,Array,Easy,Basic,Leetcode
Bitwise ORs of Subarrays,https://leetcode.com/problems/bitwise-ors-of-subarrays,"Dynamic Programming,Bit Manipulation",Medium,Intermediate,Leetcode
RLE Iterator,https://leetcode.com/problems/rle-iterator,Array,Medium,Intermediate,Leetcode
Online Stock Span,https://leetcode.com/problems/online-stock-span,Stack,Medium,Intermediate,Leetcode
Sort Array By Parity,https://leetcode.com/problems/sort-array-by-parity,Array,Easy,Basic,Leetcode
Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums,"Array,Stack",Medium,Intermediate,Leetcode
Partition Array into Disjoint Intervals,https://leetcode.com/problems/partition-array-into-disjoint-intervals,Array,Medium,Intermediate,Leetcode
Word Subsets,https://leetcode.com/problems/word-subsets,String,Medium,Intermediate,Leetcode
Reverse Only Letters,https://leetcode.com/problems/reverse-only-letters,String,Easy,Basic,Leetcode
Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray,Array,Medium,Intermediate,Leetcode
Complete Binary Tree Inserter,https://leetcode.com/problems/complete-binary-tree-inserter,Tree,Medium,Intermediate,Leetcode
Number of Music Playlists,https://leetcode.com/problems/number-of-music-playlists,Dynamic Programming,Hard,Advanced,Leetcode
Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,Stack,Medium,Intermediate,Leetcode
Flip String to Monotone Increasing,https://leetcode.com/problems/flip-string-to-monotone-increasing,Array,Medium,Intermediate,Leetcode
Unique Email Addresses,https://leetcode.com/problems/unique-email-addresses,String,Easy,Basic,Leetcode
Minimum Falling Path Sum,https://leetcode.com/problems/minimum-falling-path-sum,Dynamic Programming,Medium,Intermediate,Leetcode
Number of Recent Calls,https://leetcode.com/problems/number-of-recent-calls,Queue,Easy,Basic,Leetcode
Knight Dialer,https://leetcode.com/problems/knight-dialer,Dynamic Programming,Medium,Intermediate,Leetcode
Reorder Data in Log Files,https://leetcode.com/problems/reorder-data-in-log-files,String,Easy,Basic,Leetcode
Find the Shortest Superstring,https://leetcode.com/problems/find-the-shortest-superstring,Dynamic Programming,Hard,Advanced,Leetcode
Minimum Increment to Make Array Unique,https://leetcode.com/problems/minimum-increment-to-make-array-unique,Array,Medium,Intermediate,Leetcode
Validate Stack Sequences,https://leetcode.com/problems/validate-stack-sequences,Stack,Medium,Intermediate,Leetcode
Reveal Cards In Increasing Order,https://leetcode.com/problems/reveal-cards-in-increasing-order,Array,Medium,Intermediate,Leetcode
Flip Equivalent Binary Trees,https://leetcode.com/problems/flip-equivalent-binary-trees,Tree,Medium,Intermediate,Leetcode
Check Completeness of a Binary Tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree,Tree,Medium,Intermediate,Leetcode
Delete Columns to Make Sorted III,https://leetcode.com/problems/delete-columns-to-make-sorted-iii,Dynamic Programming,Hard,Advanced,Leetcode
Maximum Width Ramp,https://leetcode.com/problems/maximum-width-ramp,Array,Medium,Intermediate,Leetcode
Univalued Binary Tree,https://leetcode.com/problems/univalued-binary-tree,Tree,Easy,Basic,Leetcode
Maximum Binary Tree II,https://leetcode.com/problems/maximum-binary-tree-ii,Tree,Medium,Intermediate,Leetcode
Available Captures for Rook,https://leetcode.com/problems/available-captures-for-rook,Array,Easy,Basic,Leetcode
Minimum Cost to Merge Stones,https://leetcode.com/problems/minimum-cost-to-merge-stones,Dynamic Programming,Hard,Advanced,Leetcode
Check If Word Is Valid After Substitutions,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,"String,Stack",Medium,Intermediate,Leetcode
Pairs of Songs With Total Durations Divisible by 60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,Array,Medium,Intermediate,Leetcode
Partition Array Into Three Parts With Equal Sum,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,Array,Easy,Basic,Leetcode
Best Sightseeing Pair,https://leetcode.com/problems/best-sightseeing-pair,Array,Medium,Intermediate,Leetcode
Binary String With Substrings Representing 1 To N,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n,String,Medium,Intermediate,Leetcode
Next Greater Node In Linked List,https://leetcode.com/problems/next-greater-node-in-linked-list,"Linked List,Stack",Medium,Intermediate,Leetcode
Remove Outermost Parentheses,https://leetcode.com/problems/remove-outermost-parentheses,Stack,Easy,Basic,Leetcode
Sum of Root To Leaf Binary Numbers,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers,Tree,Easy,Basic,Leetcode
Video Stitching,https://leetcode.com/problems/video-stitching,Dynamic Programming,Medium,Intermediate,Leetcode
Maximum Difference Between Node and Ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,Tree,Medium,Intermediate,Leetcode
Longest Arithmetic Subsequence,https://leetcode.com/problems/longest-arithmetic-subsequence,Dynamic Programming,Medium,Intermediate,Leetcode
Recover a Tree From Preorder Traversal,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal,Tree,Hard,Advanced,Leetcode
Brace Expansion II,https://leetcode.com/problems/brace-expansion-ii,String,Hard,Advanced,Leetcode
Filling Bookcase Shelves,https://leetcode.com/problems/filling-bookcase-shelves,Dynamic Programming,Medium,Intermediate,Leetcode
Parsing A Boolean Expression,https://leetcode.com/problems/parsing-a-boolean-expression,String,Hard,Advanced,Leetcode
Defanging an IP Address,https://leetcode.com/problems/defanging-an-ip-address,String,Easy,Basic,Leetcode
Longest Well-Performing Interval,https://leetcode.com/problems/longest-well-performing-interval,Stack,Medium,Intermediate,Leetcode
Smallest Sufficient Team,https://leetcode.com/problems/smallest-sufficient-team,"Dynamic Programming,Bit Manipulation",Hard,Advanced,Leetcode
Minimum Cost Tree From Leaf Values,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,"Dynamic Programming,Stack,Tree",Medium,Intermediate,Leetcode
Largest 1-Bordered Square,https://leetcode.com/problems/largest-1-bordered-square,Dynamic Programming,Medium,Intermediate,Leetcode
Stone Game II,https://leetcode.com/problems/stone-game-ii,Dynamic Programming,Medium,Intermediate,Leetcode
Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence,Dynamic Programming,Medium,Intermediate,Leetcode
Decrease Elements To Make Array Zigzag,https://leetcode.com/problems/decrease-elements-to-make-array-zigzag,Array,Medium,Intermediate,Leetcode
Number of Dice Rolls With Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum,Dynamic Programming,Medium,Intermediate,Leetcode
Swap For Longest Repeated Character Substring,https://leetcode.com/problems/swap-for-longest-repeated-character-substring,String,Medium,Intermediate,Leetcode
Invalid Transactions,https://leetcode.com/problems/invalid-transactions,"Array,String",Medium,Intermediate,Leetcode
Remove Zero Sum Consecutive Nodes from Linked List,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list,Linked List,Medium,Intermediate,Leetcode
Distance Between Bus Stops,https://leetcode.com/problems/distance-between-bus-stops,Array,Easy,Basic,Leetcode
Day of the Week,https://leetcode.com/problems/day-of-the-week,Array,Easy,Basic,Leetcode
Maximum Subarray Sum with One Deletion,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,Dynamic Programming,Medium,Intermediate,Leetcode
Reverse Substrings Between Each Pair of Parentheses,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,Stack,Medium,Intermediate,Leetcode
K-Concatenation Maximum Sum,https://leetcode.com/problems/k-concatenation-maximum-sum,Dynamic Programming,Medium,Intermediate,Leetcode
Minimum Absolute Difference,https://leetcode.com/problems/minimum-absolute-difference,Array,Easy,Basic,Leetcode
Dice Roll Simulation,https://leetcode.com/problems/dice-roll-simulation,Dynamic Programming,Hard,Advanced,Leetcode
Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String,Stack",Medium,Intermediate,Leetcode
Maximum Score Words Formed by Letters,https://leetcode.com/problems/maximum-score-words-formed-by-letters,Bit Manipulation,Hard,Advanced,Leetcode
Shift 2D Grid,https://leetcode.com/problems/shift-2d-grid,Array,Easy,Basic,Leetcode
Greatest Sum Divisible by Three,https://leetcode.com/problems/greatest-sum-divisible-by-three,Dynamic Programming,Medium,Intermediate,Leetcode
Search Suggestions System,https://leetcode.com/problems/search-suggestions-system,String,Medium,Intermediate,Leetcode
Number of Ways to Stay in the Same Place After Some Steps,https://leetcode.com/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps,Dynamic Programming,Hard,Advanced,Leetcode
Find Winner on a Tic Tac Toe Game,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,Array,Easy,Basic,Leetcode
Count Square Submatrices with All Ones,https://leetcode.com/problems/count-square-submatrices-with-all-ones,"Array,Dynamic Programming",Medium,Intermediate,Leetcode
Palindrome Partitioning III,https://leetcode.com/problems/palindrome-partitioning-iii,Dynamic Programming,Hard,Advanced,Leetcode
Element Appearing More Than 25% In Sorted Array,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array,Array,Easy,Basic,Leetcode
Minimum Falling Path Sum II,https://leetcode.com/problems/minimum-falling-path-sum-ii,Dynamic Programming,Hard,Advanced,Leetcode
Convert Binary Number in a Linked List to Integer,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List,Bit Manipulation",Easy,Basic,Leetcode
Find Numbers with Even Number of Digits,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,Array,Easy,Basic,Leetcode
Maximum Number of Occurrences of a Substring,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"String,Bit Manipulation",Medium,Intermediate,Leetcode
Replace Elements with Greatest Element on Right Side,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,Array,Easy,Basic,Leetcode
Number of Paths with Max Score,https://leetcode.com/problems/number-of-paths-with-max-score,Dynamic Programming,Hard,Advanced,Leetcode
Deepest Leaves Sum,https://leetcode.com/problems/deepest-leaves-sum,Tree,Medium,Intermediate,Leetcode
Find N Unique Integers Sum up to Zero,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero,Array,Easy,Basic,Leetcode
Decrypt String from Alphabet to Integer Mapping,https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping,String,Easy,Basic,Leetcode
XOR Queries of a Subarray,https://leetcode.com/problems/xor-queries-of-a-subarray,Bit Manipulation,Medium,Intermediate,Leetcode
Minimum Insertion Steps to Make a String Palindrome,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,Dynamic Programming,Hard,Advanced,Leetcode
Decompress Run-Length Encoded List,https://leetcode.com/problems/decompress-run-length-encoded-list,Array,Easy,Basic,Leetcode
Matrix Block Sum,https://leetcode.com/problems/matrix-block-sum,Dynamic Programming,Medium,Intermediate,Leetcode
Minimum Flips to Make a OR b Equal to c,https://leetcode.com/problems/minimum-flips-to-make-a-or-b-equal-to-c,Bit Manipulation,Medium,Intermediate,Leetcode
Minimum Distance to Type a Word Using Two Fingers,https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers,Dynamic Programming,Hard,Advanced,Leetcode
Print Words Vertically,https://leetcode.com/problems/print-words-vertically,String,Medium,Intermediate,Leetcode
Delete Leaves With a Given Value,https://leetcode.com/problems/delete-leaves-with-a-given-value,Tree,Medium,Intermediate,Leetcode
Break a Palindrome,https://leetcode.com/problems/break-a-palindrome,String,Medium,Intermediate,Leetcode
Rank Transform of an Array,https://leetcode.com/problems/rank-transform-of-an-array,Array,Easy,Basic,Leetcode
Remove Palindromic Subsequences,https://leetcode.com/problems/remove-palindromic-subsequences,String,Easy,Basic,Leetcode
Minimum Difficulty of a Job Schedule,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule,Dynamic Programming,Hard,Advanced,Leetcode
Jump Game V,https://leetcode.com/problems/jump-game-v,Dynamic Programming,Hard,Advanced,Leetcode
Number of Steps to Reduce a Number to Zero,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero,Bit Manipulation,Easy,Basic,Leetcode
Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,Array,Medium,Intermediate,Leetcode
Check If N and Its Double Exist,https://leetcode.com/problems/check-if-n-and-its-double-exist,Array,Easy,Basic,Leetcode
Minimum Number of Steps to Make Two Strings Anagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,String,Medium,Intermediate,Leetcode
Maximum Students Taking Exam,https://leetcode.com/problems/maximum-students-taking-exam,Dynamic Programming,Hard,Advanced,Leetcode
Number of Substrings Containing All Three Characters,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters,String,Medium,Intermediate,Leetcode
Linked List in Binary Tree,https://leetcode.com/problems/linked-list-in-binary-tree,"Linked List,Dynamic Programming,Tree",Medium,Intermediate,Leetcode
Find the Longest Substring Containing Vowels in Even Counts,https://leetcode.com/problems/find-the-longest-substring-containing-vowels-in-even-counts,String,Medium,Intermediate,Leetcode
Longest ZigZag Path in a Binary Tree,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree,"Dynamic Programming,Tree",Medium,Intermediate,Leetcode
Generate a String With Characters That Have Odd Counts,https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts,String,Easy,Basic,Leetcode
Bulb Switcher III,https://leetcode.com/problems/bulb-switcher-iii,Array,Medium,Intermediate,Leetcode
Lucky Numbers in a Matrix,https://leetcode.com/problems/lucky-numbers-in-a-matrix,Array,Easy,Basic,Leetcode
Pizza With 3n Slices,https://leetcode.com/problems/pizza-with-3n-slices,Dynamic Programming,Hard,Advanced,Leetcode
Create Target Array in the Given Order,https://leetcode.com/problems/create-target-array-in-the-given-order,Array,Easy,Basic,Leetcode
Longest Happy Prefix,https://leetcode.com/problems/longest-happy-prefix,String,Hard,Advanced,Leetcode
Find Lucky Integer in an Array,https://leetcode.com/problems/find-lucky-integer-in-an-array,Array,Easy,Basic,Leetcode
Count Number of Teams,https://leetcode.com/problems/count-number-of-teams,Array,Medium,Intermediate,Leetcode
Find All Good Strings,https://leetcode.com/problems/find-all-good-strings,Dynamic Programming,Hard,Advanced,Leetcode
Count Largest Group,https://leetcode.com/problems/count-largest-group,Array,Easy,Basic,Leetcode
Number of Steps to Reduce a Number in Binary Representation to One,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String,Bit Manipulation",Medium,Intermediate,Leetcode
Stone Game III,https://leetcode.com/problems/stone-game-iii,Dynamic Programming,Hard,Advanced,Leetcode
String Matching in an Array,https://leetcode.com/problems/string-matching-in-an-array,String,Easy,Basic,Leetcode
Queries on a Permutation With Key,https://leetcode.com/problems/queries-on-a-permutation-with-key,Array,Medium,Intermediate,Leetcode
HTML Entity Parser,https://leetcode.com/problems/html-entity-parser,"String,Stack",Medium,Intermediate,Leetcode
Number of Ways to Paint N × 3 Grid,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid,Dynamic Programming,Hard,Advanced,Leetcode
Minimum Value to Get Positive Step by Step Sum,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,Array,Easy,Basic,Leetcode
Restore The Array,https://leetcode.com/problems/restore-the-array,Dynamic Programming,Hard,Advanced,Leetcode
